,S_Type,Distance_distance,FLUX_I,FLUX_H,Fe_H_Teff,Class,subtype,Mbol,Lum,Teff,Mass
245,A2Va,30.576,3.809999942779541,3.75,8829,A,2,1.64,17.378008287493763,9040.0,1.94
246,G5V,41.2631,,6.535999774932861,5708,G,5,4.805,0.9418895965228418,5575.0,0.906
247,K0,36.2571,,6.934000015258789,0,K,0,5.31,0.5915616341754742,5200.0,0.781
248,F3IV,62.5837,,5.566999912261963,6749,F,3,3.425,3.3573761424295476,6865.0,1.27
249,G0VCH-0.3,37.8923,,6.146999835968018,5953,G,0,4.33,1.4588142602753487,5950.0,1.04
250,K1V,33.3726,,6.639999866485597,0,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
251,K0.5V(k),33.4411,,6.539999961853027,0,K,0,5.31,0.5915616341754742,5200.0,0.781
252,M2.0Ve,7.0329,7.388999938964844,5.605000019073486,3640,M,2,8.69,0.02630267991895383,3400.0,0.262
253,G1V,31.0381,6.300000190734862,5.599999904632568,6148,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
254,F0V,64.1857,,5.926000118255615,7311,F,0,2.95,5.199959965335161,7420.0,1.4
255,M2Ve,34.029,9.100000381469727,7.125,0,M,2,8.69,0.02630267991895383,3400.0,0.262
256,K1V,21.5397,6.806000232696532,5.769999980926514,5015,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
257,K0V,33.6118,7.514999866485597,6.559000015258789,0,K,0,5.31,0.5915616341754742,5200.0,0.781
258,G4V,41.7145,,5.526000022888184,5903,G,4,4.71,1.0280162981264738,5640.0,0.933
259,A8III,86.4424,,6.867000102996826,0,A,8,2.61,7.112135136533293,7800.0,1.53
260,A3III/IV,58.8384,,5.7849998474121085,0,A,3,1.795,15.066070661867425,8830.0,1.865
261,K6Ve,60.086000000000006,9.18000030517578,7.558000087738037,4057,K,6,6.44,0.20892961308540386,4260.0,0.647
